time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-09-20T10:16:48.152Z,59.9033,-136.7092,0,1.1,ml,,,,0.82,ak,ak16867924,2017-09-20T10:20:08.817Z,"92km WNW of Skagway, Alaska",earthquake,,0.5,,,automatic,ak,ak
2017-09-20T10:00:20.810Z,38.8186684,-122.8108368,2.51,1.05,md,19,92,0.004757,0.04,nc,nc72895661,2017-09-20T12:03:04.107Z,"6km NW of The Geysers, California",earthquake,0.31,0.48,0.17,5,automatic,nc,nc
2017-09-20T09:56:09.660Z,19.182333,-155.4776611,34.15,1.76,md,31,84,0.03055,0.15,hv,hv61914831,2017-09-20T09:59:19.120Z,"2km S of Pahala, Hawaii",earthquake,0.72,1.01,0.23,3,automatic,hv,hv
2017-09-20T09:54:51.660Z,33.7436667,-116.9168333,14.37,0.45,ml,12,74,0.05674,0.17,ci,ci38006888,2017-09-20T09:58:35.185Z,"2km WSW of Valle Vista, CA",earthquake,0.46,0.71,0.148,10,automatic,ci,ci
2017-09-20T09:44:13.647Z,63.1465,-151.3875,0.2,1,ml,,,,0.31,ak,ak16867848,2017-09-20T09:48:23.847Z,"112km NW of Talkeetna, Alaska",earthquake,,0.5,,,automatic,ak,ak
2017-09-20T09:37:07.020Z,55.2931,-160.1086,60.27,3.7,mb,,106,0.217,1.09,us,us2000arir,2017-09-20T09:55:47.604Z,"25km E of Sand Point, Alaska",earthquake,9.4,16.6,0.225,5,reviewed,us,us
2017-09-20T09:14:04.990Z,38.8206673,-122.7668304,1.86,0.72,md,9,106,0.01008,0.01,nc,nc72895656,2017-09-20T09:28:03.651Z,"3km W of Cobb, California",earthquake,0.44,0.67,0.26,3,automatic,nc,nc
2017-09-20T09:13:51.830Z,37.1428,-117.481,15.5,1.3,ml,7,153.67,0.77,,nn,nn00606060,2017-09-20T09:16:15.464Z,"66km SSW of Goldfield, Nevada",earthquake,,,,,automatic,nn,nn
2017-09-20T09:09:07.760Z,33.9291667,-117.512,3.06,2.13,ml,131,14,0.05066,0.2,ci,ci38006880,2017-09-20T15:09:54.052Z,"3km E of Norco, CA",earthquake,0.1,0.19,0.145,117,reviewed,ci,ci
2017-09-20T09:01:56.470Z,30.5728,141.0335,51.74,4.9,mb,,129,2.739,1.37,us,us2000arig,2017-09-20T09:21:31.040Z,"Izu Islands, Japan region",earthquake,7.9,6.1,0.059,90,reviewed,us,us
2017-09-20T09:01:23.076Z,60.0051,-139.5276,0,1.6,ml,,,,0.49,ak,ak16867217,2017-09-20T09:04:36.437Z,"52km NNE of Yakutat, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-09-20T08:47:46.632Z,60.424,-142.8826,15.7,1.1,ml,,,,0.25,ak,ak16867146,2017-09-20T08:53:54.660Z,"47km NNW of Cape Yakataga, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-09-20T08:46:49.710Z,33.4936667,-116.7976667,4.26,1.46,ml,55,34,0.08753,0.2,ci,ci38006872,2017-09-20T13:50:34.530Z,"8km NE of Aguanga, CA",earthquake,0.18,0.52,0.118,26,reviewed,ci,ci
2017-09-20T08:36:39.762Z,62.9275,-151.3201,111.1,2.3,ml,,,,0.46,ak,ak16867139,2017-09-20T08:49:43.823Z,"91km NW of Talkeetna, Alaska",earthquake,,0.7,,,automatic,ak,ak
2017-09-20T08:34:54.300Z,37.5714989,-118.8416672,0.66,1.56,md,16,136,0.02102,0.06,nc,nc72895641,2017-09-20T11:05:02.892Z,"14km SE of Mammoth Lakes, California",earthquake,0.31,0.71,0.12,15,automatic,nc,nc
2017-09-20T08:26:25.980Z,36.0966667,-117.7721667,8.06,0.8,ml,9,113,0.07014,0.15,ci,ci38006856,2017-09-20T13:49:01.894Z,"17km ENE of Coso Junction, CA",earthquake,0.37,0.78,0.36,6,reviewed,ci,ci
2017-09-20T08:15:24.270Z,19.3875008,-155.2788391,2.72,2.55,ml,48,43,0.002881,0.2,hv,hv61914791,2017-09-20T08:21:11.600Z,"6km SW of Volcano, Hawaii",earthquake,0.19,0.23,0.35,26,automatic,hv,hv
2017-09-20T07:58:05.410Z,33.144,-116.504,9.34,0.86,ml,39,61,0.1006,0.21,ci,ci38006840,2017-09-20T13:49:23.376Z,"12km NE of Julian, CA",earthquake,0.37,0.8,0.177,20,reviewed,ci,ci
2017-09-20T07:45:05.060Z,35.6083336,-120.7354965,7.91,1.87,md,19,91,0.1129,0.07,nc,nc72895626,2017-09-20T09:16:02.621Z,"4km WSW of Paso Robles, California",earthquake,0.33,4.23,0.37,12,automatic,nc,nc
2017-09-20T07:44:37.630Z,38.836834,-122.7843323,0.93,0.56,md,9,105,0.004951,0.02,nc,nc72895636,2017-09-20T10:13:02.768Z,"5km WNW of Cobb, California",earthquake,0.36,1.01,,1,automatic,nc,nc
2017-09-20T07:44:15.340Z,38.8380013,-122.7839966,1.13,0.48,md,13,112,0.007505,0.03,nc,nc72895631,2017-09-20T09:44:02.695Z,"5km WNW of Cobb, California",earthquake,0.28,0.49,0.07,4,automatic,nc,nc
2017-09-20T07:38:11.026Z,62.4473,-151.2083,83.2,1.3,ml,,,,0.38,ak,ak16866448,2017-09-20T07:44:23.029Z,"58km WNW of Talkeetna, Alaska",earthquake,,0.9,,,automatic,ak,ak
2017-09-20T07:37:18.610Z,36.027,-117.7646667,1.93,1.12,ml,20,63,0.00185,0.13,ci,ci38006824,2017-09-20T14:15:55.082Z,"16km NE of Little Lake, CA",earthquake,0.15,0.15,0.246,13,reviewed,ci,ci
2017-09-20T07:25:20.450Z,59.9806,-147.2807,26.5,1.5,ml,,,,0.52,ak,ak16866421,2017-09-20T07:32:30.754Z,"80km NW of Middleton Island, Alaska",earthquake,,0.4,,,automatic,ak,ak
2017-09-20T07:18:04.250Z,19.491333,-155.8781738,10.85,1.92,md,35,88,0.03705,0.25,hv,hv61914776,2017-09-20T07:21:14.900Z,"4km E of Captain Cook, Hawaii",earthquake,0.61,0.53,0.17,11,automatic,hv,hv
2017-09-20T07:12:04.918Z,59.7978,-136.5661,0,1.5,ml,,,,1.01,ak,ak16866395,2017-09-20T07:19:18.518Z,"80km WNW of Skagway, Alaska",earthquake,,0.5,,,automatic,ak,ak
2017-09-20T06:51:45.104Z,63.9544,-148.7094,103,1.7,ml,,,,0.66,ak,ak16865784,2017-09-20T06:56:34.833Z,"16km NE of Healy, Alaska",earthquake,,0.8,,,automatic,ak,ak
2017-09-20T06:48:28.340Z,44.7876667,-111.0366667,6.45,0.77,md,10,169,0.03571,0.1,uu,uu60248097,2017-09-20T15:14:52.470Z,"14km NNE of West Yellowstone, Montana",earthquake,0.61,0.78,0.336,8,reviewed,uu,uu
2017-09-20T06:37:55.820Z,33.5035,-116.7925,5.4,0.36,ml,18,74,0.07705,0.12,ci,ci38006808,2017-09-20T13:49:21.639Z,"10km NE of Aguanga, CA",earthquake,0.26,0.94,0.149,13,reviewed,ci,ci
2017-09-20T06:02:19.310Z,35.56,-96.7528,6.78,2.7,mb_lg,,46,0.251,0.25,us,us2000arhc,2017-09-20T15:09:27.824Z,"10km NW of Prague, Oklahoma",earthquake,1.5,3.3,0.059,74,reviewed,us,us
2017-09-20T05:43:16.039Z,68.8162,-142.9601,0,2.4,ml,,,,0.57,ak,ak16865084,2017-09-20T05:53:04.983Z,"130km NE of Arctic Village, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-09-20T05:42:09.204Z,65.3765,-144.9588,0,1.2,ml,,,,0.71,ak,ak16865080,2017-09-20T05:50:24.313Z,"16km SW of Circle Hot Springs Station, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-09-20T05:37:00.371Z,57.8056,-155.5245,98.9,1.9,ml,,,,0.2,ak,ak16865073,2017-09-20T05:42:32.199Z,"96km WNW of Larsen Bay, Alaska",earthquake,,0.6,,,automatic,ak,ak
2017-09-20T05:29:31.658Z,63.2419,-148.9582,3.5,0.9,ml,,,,0.5,ak,ak16865048,2017-09-20T05:33:40.223Z,"16km S of Cantwell, Alaska",earthquake,,0.6,,,automatic,ak,ak
2017-09-20T05:26:08.970Z,-16.2747,-71.3157,92.59,5.3,mww,,117,2.19,1.32,us,us2000arh1,2017-09-20T14:03:32.731Z,"27km ENE of Arequipa, Peru",earthquake,7.5,5.7,0.068,21,reviewed,us,us
2017-09-20T05:16:01.830Z,44.304,148.9933,47.06,4.8,mb,,135,4.605,0.85,us,us2000arha,2017-09-20T06:21:49.040Z,"135km SE of Kuril'sk, Russia",earthquake,9.6,7,0.049,128,reviewed,us,us
2017-09-20T05:13:32.880Z,33.498,-116.7926667,4.59,0.14,ml,12,108,0.08159,0.07,ci,ci38006784,2017-09-20T13:49:40.400Z,"9km NE of Aguanga, CA",earthquake,0.22,0.32,0.095,5,reviewed,ci,ci
2017-09-20T04:32:49.035Z,61.7799,-150.3931,50.7,1.3,ml,,,,0.57,ak,ak16864392,2017-09-20T04:38:51.947Z,"19km W of Willow, Alaska",earthquake,,0.7,,,automatic,ak,ak
2017-09-20T04:09:26.529Z,59.9377,-139.6769,0,1.6,ml,,,,0.78,ak,ak16864345,2017-09-20T04:17:28.315Z,"43km N of Yakutat, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-09-20T04:04:58.187Z,62.4786,-151.2317,81.9,1.8,ml,,,,0.47,ak,ak16864341,2017-09-20T04:08:36.493Z,"60km WNW of Talkeetna, Alaska",earthquake,,0.5,,,automatic,ak,ak
2017-09-20T04:02:23.010Z,33.6725,-116.7606667,15.37,0.32,ml,24,69,0.05468,0.15,ci,ci38006776,2017-09-20T14:12:37.532Z,"8km SSW of Idyllwild, CA",earthquake,0.31,0.52,0.115,8,reviewed,ci,ci
2017-09-20T03:57:11.990Z,35.9336667,-117.6511667,3.58,0.68,ml,14,61,0.01422,0.09,ci,ci38006768,2017-09-20T14:08:20.492Z,"23km E of Little Lake, CA",earthquake,0.16,0.27,0.129,4,reviewed,ci,ci
2017-09-20T03:33:49.730Z,36.0721667,-118.3253333,10.73,1.12,ml,13,98,0.3583,0.12,ci,ci38006744,2017-09-20T03:37:14.498Z,"34km W of Coso Junction, CA",earthquake,0.31,1.28,0.12,13,automatic,ci,ci
2017-09-20T03:32:25.795Z,60.0691,-147.1466,8.1,2.4,ml,,,,0.56,ak,ak16863731,2017-09-20T03:36:50.922Z,"84km NNW of Middleton Island, Alaska",earthquake,,0.2,,,automatic,ak,ak
2017-09-20T03:31:16.060Z,36.0636667,-118.3305,8.62,1.93,ml,21,96,0.3611,0.11,ci,ci38006736,2017-09-20T11:33:45.280Z,"34km W of Coso Junction, CA",earthquake,0.24,2.55,0.204,26,automatic,ci,ci
2017-09-20T03:28:51.042Z,60.6899,-147.3575,13.4,1.3,ml,,,,0.61,ak,ak16863728,2017-09-20T03:33:29.915Z,"72km E of Whittier, Alaska",earthquake,,0.2,,,automatic,ak,ak
2017-09-20T03:28:05.370Z,16.1444,-94.8719,48.73,4.6,mb,,161,3.347,0.93,us,us2000argd,2017-09-20T04:02:20.269Z,"15km ESE of San Mateo del Mar, Mexico",earthquake,9.2,9.6,0.043,163,reviewed,us,us
2017-09-20T03:24:52.930Z,36.776165,-121.2863312,10.54,1.98,md,31,89,0.1298,0.06,nc,nc72895536,2017-09-20T06:31:10.215Z,"8km ESE of Ridgemark, California",earthquake,0.24,0.72,0.17,28,automatic,nc,nc
2017-09-20T03:17:19.420Z,33.713,-116.752,15.96,1.07,ml,43,28,0.03159,0.19,ci,ci38006720,2017-09-20T13:51:45.380Z,"4km SW of Idyllwild, CA",earthquake,0.27,0.45,0.254,27,reviewed,ci,ci
2017-09-20T02:52:29.770Z,33.9618333,-116.7503333,15.8,1.07,ml,31,73,0.08733,0.18,ci,ci38006712,2017-09-20T13:50:30.080Z,"6km NE of Cabazon, CA",earthquake,0.27,0.66,0.139,27,reviewed,ci,ci
2017-09-20T02:45:30.090Z,33.6338333,-116.6835,13.1,0.83,ml,18,97,0.06052,0.09,ci,ci38006704,2017-09-20T13:50:27.191Z,"9km N of Anza, CA",earthquake,0.25,0.39,0.087,17,reviewed,ci,ci
2017-09-20T02:42:10.110Z,-41.5093,174.3572,24.36,5,mb,,45,0.262,1.01,us,us2000arfw,2017-09-20T09:58:46.347Z,"33km E of Blenheim, New Zealand",earthquake,3.1,5,0.129,19,reviewed,us,us
2017-09-20T02:37:35.380Z,14.5296,-90.9069,177.24,4.9,mb,,174,0.972,1.2,us,us2000arfs,2017-09-20T06:46:29.683Z,"4km ESE of Acatenango, Guatemala",earthquake,8.7,6.1,0.041,190,reviewed,us,us
2017-09-20T02:28:09.990Z,33.5098333,-116.7895,6.23,0.71,ml,27,41,0.07051,0.12,ci,ci38006696,2017-09-20T13:51:53.240Z,"10km NE of Aguanga, CA",earthquake,0.15,0.56,0.16,23,reviewed,ci,ci
2017-09-20T02:18:39.890Z,18.9298,-66.3401,12,2.75,md,6,266,0.6717,0.18,pr,pr2017263000,2017-09-20T03:21:36.782Z,"51km N of Brenas, Puerto Rico",earthquake,4.58,6.05,0.24,4,reviewed,pr,pr
2017-09-20T02:15:54.770Z,38.8383331,-122.7819977,1.5,0.78,md,11,80,0.006107,0.02,nc,nc72895521,2017-09-20T03:05:03.610Z,"5km WNW of Cobb, California",earthquake,0.31,0.54,0.08,3,automatic,nc,nc
2017-09-20T02:12:39.881Z,59.1681,-152.1298,52.1,1.8,ml,,,,0.52,ak,ak16863060,2017-09-20T02:19:58.767Z,"62km SSW of Homer, Alaska",earthquake,,1.7,,,automatic,ak,ak
2017-09-20T02:10:02.440Z,35.9646683,-120.5240021,7.53,1.78,md,23,82,0.02362,0.05,nc,nc72895516,2017-09-20T02:24:03.495Z,"24km SW of Coalinga, California",earthquake,0.31,0.32,0.25,11,automatic,nc,nc
2017-09-20T02:08:11.902Z,59.8156,-136.5615,0,2.5,ml,,,,0.69,ak,ak16863055,2017-09-20T02:23:39.540Z,"80km WNW of Skagway, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-09-20T01:56:23.300Z,37.4306,-2.1386,7.84,2.8,ml,,175,0.917,0.36,us,us2000arfq,2017-09-20T08:23:31.711Z,"4km NNE of Albox, Spain",earthquake,5.5,8.9,0.091,16,reviewed,us,us
2017-09-20T01:43:30.060Z,-50.371,162.5497,10,6.1,mww,,88,8.452,0.77,us,us2000arel,2017-09-20T04:00:35.040Z,"256km W of Auckland Island, New Zealand",earthquake,10.6,1.9,0.073,18,reviewed,us,us
2017-09-20T01:37:29.116Z,61.0118,-152.2667,8.8,2.1,ml,,,,0.69,ak,ak16862483,2017-09-20T01:41:11.517Z,"64km NW of Nikiski, Alaska",earthquake,,0.1,,,automatic,ak,ak
2017-09-20T01:21:07.200Z,36.0193329,-120.591835,2.83,1.53,md,22,106,0.04057,0.12,nc,nc72895486,2017-09-20T05:20:03.975Z,"24km WSW of Coalinga, California",earthquake,0.36,0.82,0.22,11,automatic,nc,nc
2017-09-20T01:20:18.850Z,36.0233345,-120.5826645,1.62,0.7,md,9,123,0.03984,0.05,nc,nc72895476,2017-09-20T01:35:03.371Z,"23km WSW of Coalinga, California",earthquake,0.39,1.95,0.05,2,automatic,nc,nc
2017-09-20T01:14:27.740Z,37.1662,-117.2548,2.2,0.6,ml,7,175.68,0.131,,nn,nn00606020,2017-09-20T01:16:06.478Z,"52km WNW of Beatty, Nevada",earthquake,,,,,automatic,nn,nn
2017-09-20T01:08:19.470Z,33.5008333,-116.7968333,5.29,0.77,ml,28,35,0.08136,0.19,ci,ci38006672,2017-09-20T13:51:11.855Z,"9km NE of Aguanga, CA",earthquake,0.24,1.36,0.136,21,reviewed,ci,ci
2017-09-20T00:44:54.720Z,-3.9011,141.5342,61.96,4.5,mb,,113,9.32,1.01,us,us2000are4,2017-09-20T10:17:09.949Z,"123km SW of Aitape, Papua New Guinea",earthquake,12.5,8.9,0.118,21,reviewed,us,us
2017-09-20T00:35:31.260Z,37.2901649,-121.6661682,3.1,1.62,md,10,78,0.05472,0.05,nc,nc72895456,2017-09-20T05:03:03.920Z,"15km E of Seven Trees, California",earthquake,0.27,1.12,0.24,10,automatic,nc,nc
2017-09-20T00:34:30.800Z,37.622,-118.8408333,3.47,0.55,md,9,237,0.009015,0.05,nc,nc72895461,2017-09-20T03:26:03.656Z,"11km ESE of Mammoth Lakes, California",earthquake,1,0.78,0.14,7,reviewed,nc,nc
2017-09-20T00:09:15.550Z,37.5178333,-118.8555,3.69,0.74,md,6,306,0.1012,0.03,nc,nc72895446,2017-09-20T03:16:04.637Z,"17km SE of Mammoth Lakes, California",earthquake,1.89,4.1,0.244,5,reviewed,nc,nc
2017-09-20T00:08:15.800Z,30.7358,57.4049,10,5,mb,,68,5.471,0.67,us,us2000ardv,2017-09-20T00:28:38.040Z,"59km NNE of Kerman, Iran",earthquake,7,1.9,0.051,121,reviewed,us,us
2017-09-20T00:00:00.170Z,33.4981667,-116.7936667,4.43,0.74,ml,25,36,0.08193,0.09,ci,ci38006656,2017-09-20T00:10:22.900Z,"9km NE of Aguanga, CA",earthquake,0.14,0.29,0.096,18,reviewed,ci,ci
2017-09-19T23:48:15.140Z,33.4986667,-116.7923333,4.61,0.41,ml,18,96,0.08089,0.1,ci,ci38006648,2017-09-20T00:06:54.515Z,"9km NE of Aguanga, CA",earthquake,0.21,0.31,0.13,14,reviewed,ci,ci
2017-09-19T23:28:39.240Z,47.3728333,-122.5195,-0.39,0.67,md,5,194,0.2524,0.61,uw,uw61331481,2017-09-20T04:03:06.360Z,"4km SE of Maplewood, Washington",explosion,23.82,31.61,0.064,4,reviewed,uw,uw
2017-09-19T23:26:52.760Z,42.583,-111.4268,9.45,3,ml,,54,0.018,0.22,us,us2000arcp,2017-09-20T05:22:09.471Z,"16km ESE of Soda Springs, Idaho",earthquake,1.3,3,0.046,62,reviewed,us,us
2017-09-19T23:25:58.870Z,46.6501667,-120.758,-0.81,1.8,ml,14,96,0.09479,0.3,uw,uw61331476,2017-09-20T03:59:56.590Z,"5km S of Tieton, Washington",explosion,0.8,31.61,0.269,11,reviewed,uw,uw
2017-09-19T23:22:56.240Z,6.3346,123.8962,35.94,4.6,mb,,70,1.824,0.92,us,us2000arcv,2017-09-20T00:22:39.040Z,"20km SW of Sangay, Philippines",earthquake,4.4,8.6,0.081,45,reviewed,us,us
2017-09-19T23:11:34.420Z,16.2179,-94.8374,64.79,4.6,mb,,169,2.594,0.84,us,us2000arch,2017-09-20T02:35:58.548Z,"15km SW of San Dionisio del Mar, Mexico",earthquake,9.7,6.7,0.059,85,reviewed,us,us
2017-09-19T23:10:49.380Z,46.9826667,-122.2093333,0.55,1.39,ml,11,132,0.007804,0.05,uw,uw61331461,2017-09-19T23:28:22.020Z,"10km SE of Graham, Washington",earthquake,0.71,0.4,0.114,11,reviewed,uw,uw
2017-09-19T23:07:18.226Z,64.9699,-147.2371,0,1.2,ml,,,,0.74,ak,ak16861101,2017-09-20T01:15:27.635Z,"23km NE of Badger, Alaska",earthquake,,0.5,,,automatic,ak,ak
2017-09-19T23:05:05.600Z,-36.3279,179.4495,70.28,4.7,mb,,183,1.535,0.74,us,us2000arca,2017-09-19T23:36:31.040Z,"273km NE of Opotiki, New Zealand",earthquake,10.1,8,0.117,22,reviewed,us,us
2017-09-19T22:59:17.480Z,37.7025,-118.8185,2.14,0.64,md,8,309,0.09052,0.05,nc,nc72895436,2017-09-20T00:06:02.368Z,"14km ENE of Mammoth Lakes, California",earthquake,2.29,6.37,0.147,6,reviewed,nc,nc
2017-09-19T22:55:46.510Z,33.4906667,-116.4768333,15.11,0.7,ml,17,140,0.05377,0.15,ci,ci38006624,2017-09-19T23:30:47.051Z,"20km ESE of Anza, CA",earthquake,0.47,0.62,0.165,13,reviewed,ci,ci
2017-09-19T22:55:18.150Z,33.4946667,-116.4831667,14.95,0.84,ml,14,200,0.05592,0.1,ci,ci37165468,2017-09-19T23:36:48.681Z,"19km ESE of Anza, CA",earthquake,0.36,0.54,0.123,16,reviewed,ci,ci
2017-09-19T22:48:38.940Z,33.5116667,-116.7935,5.34,0.43,ml,17,72,0.07124,0.09,ci,ci38006616,2017-09-19T23:04:50.970Z,"10km NE of Aguanga, CA",earthquake,0.22,0.77,0.112,9,reviewed,ci,ci
2017-09-19T22:21:39.230Z,36.4396,-98.7506,1.92,3.2,mb_lg,,88,0.039,0.41,us,us2000aray,2017-09-19T22:36:25.040Z,"30km NW of Fairview, Oklahoma",earthquake,1.5,7.3,0.054,91,reviewed,us,us
2017-09-19T22:17:54.460Z,36.4511,-98.7831,2.64,2.6,mb_lg,,65,0.042,0.32,us,us2000arar,2017-09-19T22:28:45.040Z,"33km NW of Fairview, Oklahoma",earthquake,1.7,6.2,0.095,29,reviewed,us,us
2017-09-19T22:15:34.750Z,33.4866667,-116.4753333,14.73,0.96,ml,24,101,0.05534,0.12,ci,ci38006608,2017-09-19T22:24:04.358Z,"20km ESE of Anza, CA",earthquake,0.25,0.5,0.143,20,reviewed,ci,ci
